RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31
102001,0,United States,country,,1258.8292464121023,1265.5898421268353,1274.6049611298995,1284.5824309834268,1294.4361649289265,1303.0976703309088,1309.3083152942545,1313.1656041203044,1314.9122034800707,1315.4499252344142,1315.6146411671082,1316.1173091064607,1319.322483601839,1324.6757550380612,1331.2658470685333,1341.3165270729944,1351.0687522953426,1360.6307679189977,1363.919833591322,1365.311475798606,1364.4830783566617,1361.570210214402,1359.0070306654454,1356.5643911256504,1362.978517751636,1371.3058553261972,1383.8326990791259,1392.5770956258361,1401.9948647457818,1409.3900597582508,1414.3726115723982,1416.0970865116183,1416.5455657754146,1415.231729382328,1415.2539015052503,1416.2300685809087,1421.2752312552486,1429.0044914983682,1439.1182779715687,1449.2593546262908,1458.0474098709674,1465.862855929016,1471.4221358396342,1474.7828212663203,1474.5283531134012,1473.9220925817228,1474.514109151309,1476.7031082348865,1481.395097356536,1488.1208561853612,1498.483493308321,1508.838339987501,1518.8219301082331,1527.3307018901298,1533.5432657226515,1537.085836402474,1537.3199702211575,1536.2417185465135,1535.1814928046783,1536.3225069772732,1541.646480366143,1550.3252606656602,1558.6574150605406,1558.5909869253883,1556.6796430289007,1556.2286449554124,1561.1042026720122,1562.6461417336925,1560.6766463223416,1558.8573102701523,1559.8989663285975,1562.2856104125137,1567.8516182415424,1576.5862504278184,1591.9779569193433,1613.6043360438184,1641.594574599575,1673.5545912031473,1706.7850832353722,1737.9537727808383,1763.3676933183617,1779.8567219083109,1791.014700739926,1801.5578025508105,1813.571556110859,1830.385060730133,1847.7326762972498,1869.4957833806984,1892.0318459374887,1915.4614440598145,1935.0521988479763,1946.7608870616298,1950.8541064801516,1948.2718197483757,1943.3640795523856,1941.4954750329175,1944.1740942821448,1950.8188432247903,1959.8288318248576,1970.7455568767184,1983.1894480372712,1994.070902697102,2004.1037101270344,2010.3613819578513,2013.1323722674902,2011.2247145973472
394913,1,"New York, NY",msa,NY,2369.6773596522326,2385.5562716358813,2403.6331218129335,2426.024982013817,2442.0959915020094,2460.4931554718364,2472.43122661391,2482.9124579376003,2486.2002911215973,2482.8562312554873,2473.798175897662,2463.416624928895,2460.3307086702084,2463.7710859387257,2471.897128607286,2486.3890497448288,2503.669513902358,2521.978770612048,2533.7169440678686,2538.094883438907,2536.8553404431186,2528.702870363333,2519.773144692667,2503.427305279073,2501.640132868614,2502.035907602506,2516.638363761178,2528.5839872888564,2547.888590392781,2563.8975112011517,2574.730163578923,2576.581897667993,2574.9761405824024,2561.2616253921888,2546.186401011642,2531.8211655276,2529.1644832843253,2536.250441555852,2548.9786346039105,2569.804085621147,2588.3969617316475,2606.7866188429552,2619.282655001266,2628.544542225903,2628.8876767033453,2619.529283101185,2607.626480584393,2597.15688180534,2596.24618895107,2605.8513963575256,2620.689909260537,2639.139289849947,2659.5391619621987,2682.700961524194,2698.0795157536754,2705.2899439972143,2702.770529757983,2698.0187869882593,2685.123934454388,2677.452156994354,2677.130039005572,2692.018467337737,2702.4793324889433,2694.8693689358843,2676.2242676864103,2651.281818788877,2625.9491789605627,,,2477.624680995029,2446.8642153991946,2433.000647939352,2428.846276168154,2438.9166154232676,2462.18614740423,2493.641009826319,2540.0998187272244,2597.204653204914,2662.361264280416,2725.7222290371456,2777.321108959653,2810.15243538704,2831.6963888472405,2850.4443710473065,2876.018510290735,2913.1778412976205,2954.328878238927,2999.49726722549,3053.664470101557,3113.264769921265,3165.3534559767577,3193.863770880998,3195.716941314122,3177.211314389454,3143.7007031235967,3119.7314655542295,3113.4907233314775,3128.0522269039875,3153.957894790271,3190.494578759193,3230.605612142241,3267.742001317203,3291.9543188418133,3300.8511185890866,3299.0623750132095,3282.7531311672738
753899,2,"Los Angeles, CA",msa,CA,1874.9026977341077,1886.4619624487825,1901.6469015229798,1915.772141949625,1930.8203086818603,1943.0066041697453,1957.2262263486552,1967.7373521619863,1977.5146834641605,1982.6172997391104,1987.4014001425944,1993.407901765174,2003.6726744487084,2016.568766475206,2028.643915436977,2040.1009212967435,2053.8105951315792,2066.889453585284,2076.6064681375337,2081.4072524252606,2086.5164659156694,2085.6417586103025,2085.87675408789,2084.3185803134024,2103.685974525481,2123.1431132526036,2149.2675973620303,2161.9497621161504,2175.554008388001,2185.327482243835,2194.4450818541454,2200.486538588353,2205.2212890141464,2207.0401300220246,2211.9660079320174,2216.885795999102,2227.031863484449,2237.928536787946,2249.35914608408,2260.672678269827,2270.3074155079094,2281.8554424778386,2291.6978514454213,2300.491570486954,2305.9224712949376,2310.9269733213464,2317.253114855243,2322.487566064275,2328.155988814812,2332.6039399222836,2344.2017693594207,2354.382656684228,2366.0243544665573,2375.2300138034907,2383.8313270811323,2390.5502764472394,2394.3274225846617,2396.24817566622,2399.0951285918436,2403.079170567804,2412.4250306614986,2417.6442836063625,2417.809876595962,2403.5180862768116,2390.462874170378,2381.639354271285,2382.3040322762495,2382.4727519175262,2383.7494744452824,2386.5756155086065,2391.6443017435904,2392.363543429878,2395.142055866145,2400.7067472980675,2414.2863185113474,2429.5532693359046,2451.829781036364,2488.1762744662547,2536.835270580097,2592.8513887032364,2635.1733929655334,2665.734567608832,2681.8732291115093,2701.981869362134,2721.2919867596406,2748.0142931572846,2774.21499377789,2804.389411915845,2833.509391497077,2858.3490906176617,2880.4121737716555,2896.7190992721876,2903.989719038501,2901.2405919935304,2892.937102082937,2887.451730556025,2884.3939393209375,2892.2492934597462,2901.978247522029,2916.9450546996613,2924.1028500596053,2934.9429323100267,2948.572687751868,2961.198542568353,2965.71925636653,2962.7023278557904
394463,3,"Chicago, IL",msa,IL,1399.490422306476,1406.9842606787245,1417.8888736034694,1427.5274829690575,1438.3687675517667,1446.730849886618,1451.7084154282152,1453.7627549991437,1448.7030048670358,1441.7486542833444,1436.1141778280673,1436.2936079938117,1444.2434235203707,1452.3439688711733,1463.992385679727,1472.04233345903,1482.4428399209964,1491.7487357949067,1498.5636336941902,1502.3312283376601,1495.3721671888363,1482.4468019426538,1465.4520537431836,1455.4137307063447,1464.2313551217671,1480.934661212549,1502.0883896265777,1513.29637283732,1524.433163744403,1529.9733105095738,1531.8894833405413,1527.1767974481854,1520.8942525152913,1510.5291816318681,1503.757571799205,1502.4147832873255,1510.4281381748008,1521.810247405512,1533.9909036007748,1544.8565283465018,1554.7221752537243,1563.0264418317627,1566.640036685152,1563.9061988553767,1553.9029304071398,1543.149774616175,1537.1730132945024,1538.0648827189302,1546.6370844969538,1556.8661365260352,1572.011274206891,1585.1376367669277,1596.5133045623622,1604.0453934292273,1607.0396292579412,1607.612013188785,1602.8881522079585,1595.5125417901745,1588.15245854173,1583.3641966376997,1592.4099192448436,1603.7496484772842,1617.9206290089944,1618.153872037688,1616.59597581187,1612.865115715507,1611.8838793118173,1605.6619560284937,1591.6995100034678,1572.1416643096522,1556.8529504049939,1548.278464895302,1546.5858924946438,1553.4722661861288,1570.9269972111451,1598.617604365932,1626.856832594914,1651.1706379699292,1669.7663310791006,1682.7380340503137,1690.0639661424557,1690.9627534415526,1691.6311391055458,1697.3992784893276,1711.2323185412756,1728.3905697606783,1748.6396915351236,1771.035998354899,1795.0781890889205,1815.1453243736407,1831.9710885083664,1839.3395981985764,1841.440974814298,1839.5629265521852,1834.8659964588446,1836.8892209491469,1843.6812562708435,1856.1102348402867,1869.4783307620273,1885.4751610761562,1908.0171139795025,1928.2472658502807,1940.57501616753,1947.9530103387203,1946.5234521319107,1939.1721270825108
394514,4,"Dallas, TX",msa,TX,1125.2690270554208,1130.7419880731552,1138.7187508004258,1149.7727026887528,1160.036741532091,1168.578539503553,1175.9148955012458,1178.8797685707318,1179.8056548805264,1179.6912457878618,1181.830090834655,1184.9445666068905,1186.9881148022591,1192.1852436226861,1200.6504372331622,1211.4442054718124,1219.8591590837525,1226.6268908000004,1230.6983919435816,1233.0526445027701,1232.105205672425,1230.6923444286747,1230.8974453464796,1231.5389920358512,1239.8518517376817,1246.7964385577534,1260.052151728952,1268.1482384441201,1280.6409580456648,1286.901513190296,1291.9198498956057,1293.3723198996956,1293.0068299734855,1291.6995436168006,1292.7535518499053,1293.1024560459134,1297.638145334213,1304.4420613513423,1312.7089693806506,1319.9398583391337,1324.7601792523078,1333.0577036163813,1337.326532087114,1339.5053824504305,1336.750706189542,1338.8339444360495,1338.9228978420265,1341.0544072680732,1343.1685166510406,1348.7071607258008,1359.8516192907173,1369.5576935133379,1378.1294166610655,1384.828287108074,1388.7747449724495,1391.9386050685487,1392.2196437463501,1392.1217530957526,1389.219979916994,1385.7115932939341,1387.131578198214,1393.8784204091403,1401.8053690013307,1402.9769673764383,1401.0928797608483,1401.6522226707461,1405.6846122924803,1410.843174031459,1414.4219329710356,1419.3691870503674,1423.5288304567116,1427.53995198394,1428.6194016833745,1433.4729238745454,1443.0340702474866,1464.8475904299778,1494.2518516584628,1529.2309779512605,1564.7141787136727,1597.1532786271873,1622.3571171514272,1638.3482906373486,1650.9896003083425,1661.809234102381,1674.0512154558185,1686.6831755261874,1699.8008629288129,1720.4395416174657,1745.1229181121614,1775.6760950085463,1796.9556035670964,1804.725552996949,1801.0899400972028,1791.0365190591472,1782.1500308293353,1774.252975947052,1773.147520998682,1776.8814318446816,1783.4376348298638,1787.0413338649666,1793.4121285782494,1801.7587098366114,1810.243875272942,1812.496139509154,1808.4041694640036,1802.510193804758
394692,5,"Houston, TX",msa,TX,1244.9138123319665,1249.6359459825142,1256.4585851478325,1268.5555555097542,1278.2622051135809,1287.6673680218742,1289.697209646478,1289.9913096785149,1285.1909969273165,1280.7122224719403,1277.1662749227442,1275.7685987048628,1276.9260547590268,1278.4130437312372,1283.7669918258855,1288.4706348993063,1292.2198786665306,1292.269699560079,1289.7745056908427,1284.9237843955132,1277.5357982284768,1267.0289291385711,1256.7409888926427,1250.4481854306562,1259.4956885833146,1273.2470902742766,1288.037475722399,1292.2744554696328,1300.389638267924,1302.0728687111423,1302.911027764042,1298.025932231054,1305.5095669511447,1313.823953643686,1324.7427519438022,1330.9232777206132,1333.446529371714,1339.149966935346,1339.7309420988345,1347.3909684815715,1349.265183911189,1355.36560830675,1355.1170486304648,1354.4225419980398,1350.208210818257,1349.1725418105575,1350.9973192468335,1350.8643249292184,1352.7395011797564,1352.2722999609186,1358.934440706644,1364.0059269712433,1372.74989552484,1378.9963949126825,1382.5589474169374,1381.4611796682532,1378.333701151085,1377.7024420156995,1378.297716042093,1381.9072346358846,1384.9463982662596,1391.460060560691,1396.6363858094207,1393.2491344801247,1385.8880289255235,1379.5739487307903,1383.6619766202314,1388.3961645656232,1390.2392291332278,1392.7063722745047,1396.3039763118911,1397.9214942769975,1397.561514688944,1393.3980540715538,1399.0140500597763,1411.4622965969852,1435.4401672682889,1463.394975614797,1490.4376841654641,1513.9514167231428,1528.1717223738897,1536.5289588037997,1541.4520513960326,1546.8013183690487,1554.2919157538458,1563.917584328291,1573.8484654274828,1585.6564786595989,1597.952500155558,1613.2682215691611,1625.1364516279068,1631.8908186065328,1628.3432799700117,1623.9078888419276,1620.1942322662574,1619.4094583112103,1626.7113898346715,1634.3634472295375,1644.373788466578,1648.7346918571964,1657.9636523137126,1667.7102215530042,1674.9005886116215,1675.905910832727,1673.5986147165695,1668.1036256536256
395209,6,"Washington, DC",msa,VA,1734.2282690607624,1741.0151040391888,1753.2132128356686,1761.1041062208242,1770.86305603032,1777.5177188102225,1780.9771944607378,1778.3654416810664,1777.2771550759123,1773.786781848094,1773.1371232432607,1768.6347454806894,1770.4802641043696,1774.6016722102665,1782.1097868959155,1791.0505457374868,1801.1759994028805,1809.634390989981,1813.3050551779656,1813.0213678257846,1809.8841331087144,1800.543066450627,1793.5254656599325,1786.1622821247786,1793.3557992876388,1806.3206531242167,1822.9589713112243,1834.694372817696,1840.6319520066086,1847.8093235456874,1850.5249860227432,1849.880385186909,1847.3978830655844,1842.397569786004,1837.0404049910592,1833.1949876210872,1837.497579154561,1843.8856838378163,1856.2068407686288,1867.3925991975827,1879.0118389116376,1887.3226169298541,1892.4630624002066,1895.9030633130499,1891.3792418436717,1887.4359355772979,1887.7978294821717,1892.1963466494976,1897.928563740322,1904.391541543749,1913.7316071019225,1924.380198862076,1935.1095978231506,1944.6845670072428,1950.755388231408,1952.7432958426123,1952.6242295859995,1946.8675397399468,1940.7200303319125,1940.0789402073835,1949.1003007201305,1958.408343053532,1968.7226244232131,1966.8252871520335,1963.6495821549156,1956.6964094847701,1954.5242095112715,1950.7258927182418,1939.4399459542183,1924.4374035322749,1906.3373504894175,1890.972636873116,1886.8334850889787,1891.6311530386668,1903.300460136723,1921.4011974008426,1950.0041357118564,1988.125161486185,2025.937414267073,2057.6538480733548,2077.8685502949374,2088.6300667185587,2089.5791981616608,2091.193837958111,2093.1049759656034,2104.8017667672034,2122.1455178699716,2146.647948846374,2172.970211652815,2198.736399617221,2222.9075084153947,2233.886089870054,2235.23131466145,2221.4798648374976,2205.4622370190714,2193.2601675136334,2192.1274257417526,2203.224163054319,2216.6577263271465,2233.93342327152,2252.0313893225334,2271.6828221228516,2288.081306242733,2299.6851018826687,2306.9221789980993,2307.991076277215
394974,7,"Philadelphia, PA",msa,PA,1255.586881213713,1261.9185638263461,1274.6361592961882,1282.1364755727293,1288.9615340720163,1291.2101192840632,1293.0461759215157,1293.5133737269532,1292.6464165715038,1291.568630915917,1287.6933813462658,1282.636089182876,1282.6754232767992,1292.177474110542,1304.121616132644,1315.769654181827,1322.4460156645525,1329.2052031644912,1330.1657259604376,1329.366306464822,1325.0858000211156,1319.1959034962294,1322.3438534926486,1321.2810772559912,1328.749472818999,1331.1478095956234,1344.0150587901876,1351.1817314652678,1356.958692575682,1357.5408836066626,1358.702925312569,1359.7988792336732,1360.1481341148196,1359.1787077520778,1357.3045633028348,1359.2989179895233,1362.7545677352737,1370.852079363351,1381.1223957588684,1390.5737239012585,1398.7044181247225,1402.6371576746578,1404.228445038032,1403.7198512610362,1402.4820393607704,1404.4412590141258,1406.9140594296655,1406.3473779596545,1409.8575094888836,1417.043405772058,1430.8508314013266,1440.9882713092684,1447.4135150238308,1454.347597202237,1458.3256350699205,1459.1793070620347,1455.8881332263004,1455.6630351450822,1456.5280233277056,1459.948283617956,1462.6927966595913,1472.2218661421084,1481.7515306097046,1484.5488841006909,1483.3380655656576,1483.9546615560794,1488.8791570934727,1488.6887705272154,1487.9650371349046,1490.1466521211207,1494.6781841358354,1497.0739131938783,1496.4425938923468,1500.2654671334878,1508.7704567981734,1526.7214385234997,1547.5387468617469,1568.7283259847084,1587.4783726584217,1606.0779814454445,1620.5653586521462,1631.5226782980121,1639.0034164044332,1650.3648414506579,1661.2884689385642,1672.9410141995834,1682.406850490839,1695.4989645383987,1709.5890934497363,1725.0221228841513,1738.543175372324,1745.6268316460546,1750.312218866038,1746.1193454051097,1745.7477556489603,1741.45196530743,1744.6853029519532,1745.0781164877314,1751.275959221829,1757.6125685924567,1768.7202972795733,1775.4064439850497,1784.9966977208926,1793.9285362011015,1806.0565793243454,1812.8134445633968
394856,8,"Miami, FL",msa,FL,1528.826049223429,1535.899950934133,1541.6617971478374,1548.6730719811883,1558.4112099123095,1568.1711395776188,1577.3679798709702,1584.64974604686,1595.940660737393,1604.8677332393045,1613.722297018912,1616.6047960355925,1620.6578122939325,1621.8236194115702,1624.3877464952411,1626.2053018099,1627.8089506858742,1628.719522998085,1629.7646190905598,1633.050488117096,1638.3210496689733,1640.3849779911625,1643.5679141345354,1640.91559273273,1645.5651993770064,1647.9372132534995,1655.8048208536334,1657.2819713227955,1660.1768591610094,1664.378993387708,1671.4967180202545,1678.3683703167126,1684.6612101888923,1690.5958975829835,1692.7999521662248,1694.0454505157813,1695.4913460074229,1699.0735026430834,1703.3498220768772,1707.7139529633455,1711.6850282514663,1717.2444435409016,1723.8850576997734,1730.9734599771575,1736.5148505110776,1742.5506803702888,1748.9207268424007,1754.8848707101145,1755.4657856952529,1756.0291561058643,1756.2661315184646,1759.954449753239,1762.8940444680188,1767.6809052835292,1772.74454772392,1778.8273502493644,1784.6784241239636,1794.3173044301298,1804.107389294375,1812.9741538315445,1815.7306542215563,1819.5751128257416,1819.4862903776718,1812.4802540712196,1802.2973434547698,1800.2541284496667,1805.3463776014307,1811.5542129663293,1817.3189298093698,1831.9256984410688,1851.854737791409,1869.1093193378674,1885.624656576282,1908.2904278779451,1935.986103272157,1968.6234150080127,2012.180549373112,,,2210.3879751978416,2270.9436081983754,2320.8235604575916,2368.1710007862284,2419.1914953184328,2466.7694977225487,2504.2335949662943,2546.7623373947436,2586.0563598345757,2626.3960347625343,2648.836020694563,2669.30999069064,2676.8574233152794,2685.740614177156,2690.8988766195143,2703.3336971368913,2709.4160780291813,2710.3737797650124,2711.069779424699,2716.1346048396417,2725.7123087840487,2734.1440919211555,2742.987253666302,2749.5210061876487,2754.7240027181397,2758.6147976472007,2768.526923602509
394347,9,"Atlanta, GA",msa,GA,1058.5775878864908,1064.1879569847003,1067.748088782078,1078.790286417482,1086.573808195811,1098.0318471679136,1104.904134615245,1109.0485022756027,1110.5230418670976,1109.5338560359457,1110.1268228871763,1113.1075762590983,1117.9930341164381,1125.5572517555765,1133.870120627486,1142.9598131855178,1152.2010167419555,1160.210337592279,1167.898579646342,1171.8825514294922,1173.3089790783486,1172.018443509164,1171.4030987349156,1173.0990435565107,1178.4674175972696,1188.3491262285497,1200.1322089418059,1211.9839719522154,1223.7296284819581,1234.1663169921524,1243.2650506334776,1247.2378599305869,1249.0538571586753,1247.133992494302,1248.2903377983,1249.870776891003,1256.9701071371155,1264.8702657614297,1276.6862353791369,1288.605440762339,1301.0589398647185,1310.3246232568863,1315.8551550133552,1318.407876340913,1319.6113275304085,1325.3764452062753,1330.5170655032448,1335.2148671097261,1340.7282397356432,1349.2116946757308,1361.947567457291,1372.909736882048,1382.890866834632,1391.5268008406392,1396.994029779235,1401.537067479263,1405.1004392269992,1405.164629909729,1403.4559398394617,1403.0544762290665,1407.6355423232894,1416.9538335713426,1424.7227290874223,1428.132339967401,1430.438600526753,1437.1336735503642,1451.564502837412,1465.7710996086842,1477.0880138403961,1485.2710053769883,1492.8083262969294,1500.105623030445,1510.7717880598022,1526.785687247124,1546.096452523197,1571.024322845392,1601.9821999698722,1643.9385502380385,1687.5848153521897,1732.394758603025,1762.7558073448292,1784.7359425423647,1792.7937337519793,1798.3966497997192,1804.2820651235354,1812.330215597258,1826.8021251921339,1840.7370441056216,1861.4321058855721,1883.501675564057,1908.3779895036832,1920.653196517729,1924.3760085640777,1917.4070536003849,1909.782938752353,1910.3751110938065,1910.0726372491588,1915.8546349805301,1918.2291445266928,1927.4855784890226,1932.6828070894023,1933.5551219414463,1935.0111900574725,1935.503391521905,1934.994827694982,1925.3568548933442
